platform,measurement,latency_ms
mac_cpu,model_forward,1.121375
mac_cpu,model_forward,1.11575
mac_cpu,model_forward,1.095958
mac_cpu,model_forward,1.109
mac_cpu,model_forward,1.107625
mac_cpu,model_forward,1.089833
mac_cpu,model_forward,1.105875
mac_cpu,model_forward,1.114625
mac_cpu,model_forward,1.087041
mac_cpu,model_forward,1.115917
mac_cpu,model_forward,1.065417
mac_cpu,model_forward,1.088458
mac_cpu,model_forward,1.11
mac_cpu,model_forward,1.113125
mac_cpu,model_forward,1.112042
mac_cpu,model_forward,1.110209
mac_cpu,model_forward,1.11775
mac_cpu,model_forward,1.080959
mac_cpu,model_forward,1.122125
mac_cpu,model_forward,1.092459
mac_cpu,model_forward,1.102167
mac_cpu,model_forward,1.107542
mac_cpu,model_forward,1.088208
mac_cpu,model_forward,1.115667
mac_cpu,model_forward,1.099125
mac_cpu,model_forward,1.072833
mac_cpu,model_forward,1.091375
mac_cpu,model_forward,1.109625
mac_cpu,model_forward,1.30325
mac_cpu,model_forward,1.147834
mac_cpu,model_forward,1.106333
mac_cpu,model_forward,1.106959
mac_cpu,model_forward,1.077416
mac_cpu,model_forward,1.10425
mac_cpu,model_forward,1.066375
mac_cpu,model_forward,1.087334
mac_cpu,model_forward,1.122792
mac_cpu,model_forward,1.115292
mac_cpu,model_forward,1.1865
mac_cpu,model_forward,1.136625
mac_cpu,model_forward,1.160209
mac_cpu,model_forward,1.139625
mac_cpu,model_forward,1.139209
mac_cpu,model_forward,1.0845
mac_cpu,model_forward,1.102708
mac_cpu,model_forward,1.083042
mac_cpu,model_forward,1.135334
mac_cpu,model_forward,1.104708
mac_cpu,model_forward,1.120959
mac_cpu,model_forward,1.12375
mac_cpu,model_forward,1.113459
mac_cpu,model_forward,1.098333
mac_cpu,model_forward,1.112084
mac_cpu,model_forward,1.117875
mac_cpu,model_forward,1.129834
mac_cpu,model_forward,1.074
mac_cpu,model_forward,1.137833
mac_cpu,model_forward,1.144167
mac_cpu,model_forward,1.114583
mac_cpu,model_forward,1.335833
mac_cpu,model_forward,1.163083
mac_cpu,model_forward,1.141625
mac_cpu,model_forward,1.144667
mac_cpu,model_forward,1.119083
mac_cpu,model_forward,1.101916
mac_cpu,model_forward,1.158709
mac_cpu,model_forward,1.099708
mac_cpu,model_forward,1.119292
mac_cpu,model_forward,1.098041
mac_cpu,model_forward,1.31875
mac_cpu,model_forward,1.142459
mac_cpu,model_forward,1.11375
mac_cpu,model_forward,1.122333
mac_cpu,model_forward,1.140292
mac_cpu,model_forward,1.106959
mac_cpu,model_forward,1.108125
mac_cpu,model_forward,1.105667
mac_cpu,model_forward,1.156208
mac_cpu,model_forward,1.139833
mac_cpu,model_forward,1.114916
mac_cpu,model_forward,1.114709
mac_cpu,model_forward,1.119458
mac_cpu,model_forward,1.13175
mac_cpu,model_forward,1.109208
mac_cpu,model_forward,1.098041
mac_cpu,model_forward,1.116208
mac_cpu,model_forward,1.062708
mac_cpu,model_forward,1.111666
mac_cpu,model_forward,1.111042
mac_cpu,model_forward,1.318208
mac_cpu,model_forward,1.106334
mac_cpu,model_forward,1.082542
mac_cpu,model_forward,1.089667
mac_cpu,model_forward,1.07675
mac_cpu,model_forward,1.102791
mac_cpu,model_forward,1.111
mac_cpu,model_forward,1.10925
mac_cpu,model_forward,1.098875
mac_cpu,model_forward,1.108625
mac_cpu,model_forward,1.116
mac_cpu,model_forward,1.11425
mac_cpu,model_forward,1.091625
mac_cpu,model_forward,1.105292
mac_cpu,model_forward,1.120583
mac_cpu,model_forward,1.114542
mac_cpu,model_forward,1.09325
mac_cpu,model_forward,1.415833
mac_cpu,model_forward,1.508084
mac_cpu,model_forward,1.47775
mac_cpu,model_forward,1.4485
mac_cpu,model_forward,1.539583
mac_cpu,model_forward,1.495333
mac_cpu,model_forward,1.512708
mac_cpu,model_forward,1.550958
mac_cpu,model_forward,1.343125
mac_cpu,model_forward,1.231458
mac_cpu,model_forward,1.156958
mac_cpu,model_forward,1.258584
mac_cpu,model_forward,1.120458
mac_cpu,model_forward,1.110584
mac_cpu,model_forward,1.12025
mac_cpu,model_forward,1.105917
mac_cpu,model_forward,1.157416
mac_cpu,model_forward,1.146042
mac_cpu,model_forward,1.113666
mac_cpu,model_forward,1.138
mac_cpu,model_forward,1.15625
mac_cpu,model_forward,1.140916
mac_cpu,model_forward,1.109167
mac_cpu,model_forward,1.129042
mac_cpu,model_forward,1.11725
mac_cpu,model_forward,1.1155
mac_cpu,model_forward,1.128958
mac_cpu,model_forward,1.122791
mac_cpu,model_forward,1.146459
mac_cpu,model_forward,1.114209
mac_cpu,model_forward,1.145541
mac_cpu,model_forward,1.098834
mac_cpu,model_forward,1.142416
mac_cpu,model_forward,1.116
mac_cpu,model_forward,1.108708
mac_cpu,model_forward,1.114709
mac_cpu,model_forward,1.116166
mac_cpu,model_forward,1.100208
mac_cpu,model_forward,1.10175
mac_cpu,model_forward,1.11225
mac_cpu,model_forward,1.0745
mac_cpu,model_forward,1.104625
mac_cpu,model_forward,1.141625
mac_cpu,model_forward,1.424417
mac_cpu,model_forward,1.176708
mac_cpu,model_forward,1.147584
mac_cpu,model_forward,1.087292
mac_cpu,model_forward,1.151333
mac_cpu,model_forward,1.137417
mac_cpu,model_forward,1.108792
mac_cpu,model_forward,1.10625
mac_cpu,model_forward,1.089541
mac_cpu,model_forward,1.09825
mac_cpu,model_forward,1.091666
mac_cpu,model_forward,1.077875
mac_cpu,model_forward,1.07125
mac_cpu,model_forward,1.101291
mac_cpu,model_forward,1.102917
mac_cpu,model_forward,1.091042
mac_cpu,model_forward,1.094542
mac_cpu,model_forward,1.095291
mac_cpu,model_forward,1.108375
mac_cpu,model_forward,1.081958
mac_cpu,model_forward,1.078083
mac_cpu,model_forward,1.103959
mac_cpu,model_forward,1.090458
mac_cpu,model_forward,1.122166
mac_cpu,model_forward,1.095125
mac_cpu,model_forward,1.114
mac_cpu,model_forward,1.107834
mac_cpu,model_forward,1.110166
mac_cpu,model_forward,1.118583
mac_cpu,model_forward,1.069375
mac_cpu,model_forward,1.126208
mac_cpu,model_forward,1.125584
mac_cpu,model_forward,1.275625
mac_cpu,model_forward,1.09775
mac_cpu,model_forward,1.112834
mac_cpu,model_forward,1.10525
mac_cpu,model_forward,1.109583
mac_cpu,model_forward,1.091416
mac_cpu,model_forward,1.106875
mac_cpu,model_forward,1.098708
mac_cpu,model_forward,1.0915
mac_cpu,model_forward,1.092125
mac_cpu,model_forward,1.131834
mac_cpu,model_forward,1.128458
mac_cpu,model_forward,1.099875
mac_cpu,model_forward,1.09225
mac_cpu,model_forward,1.078084
mac_cpu,model_forward,1.100125
mac_cpu,model_forward,1.09275
mac_cpu,model_forward,1.115958
mac_cpu,model_forward,1.123666
mac_cpu,model_forward,1.108083
mac_cpu,model_forward,1.11
mac_cpu,model_forward,1.108709
mac_cpu,model_forward,1.097666
mac_cpu,model_forward,1.100042
mac_cpu,model_forward,1.117959
mac_cpu,model_forward,1.100459
mac_cpu,model_forward,1.133583
mac_cpu,model_forward,1.094
mac_cpu,model_forward,1.139166
mac_cpu,model_forward,1.119208
mac_cpu,model_forward,1.156375
mac_cpu,model_forward,1.105083
mac_cpu,model_forward,1.159791
mac_cpu,model_forward,1.173667
mac_cpu,model_forward,1.139125
mac_cpu,model_forward,1.107708
mac_cpu,model_forward,1.163083
mac_cpu,model_forward,1.111334
mac_cpu,model_forward,1.106916
mac_cpu,model_forward,1.119959
mac_cpu,model_forward,1.117125
mac_cpu,model_forward,1.104125
mac_cpu,model_forward,1.095292
mac_cpu,model_forward,1.0895
mac_cpu,model_forward,1.084584
mac_cpu,model_forward,1.116458
mac_cpu,model_forward,1.123666
mac_cpu,model_forward,1.149334
mac_cpu,model_forward,1.135166
mac_cpu,model_forward,1.158708
mac_cpu,model_forward,1.113458
mac_cpu,model_forward,1.105708
mac_cpu,model_forward,1.099416
mac_cpu,model_forward,1.115209
mac_cpu,model_forward,1.082875
mac_cpu,model_forward,1.079625
mac_cpu,model_forward,1.104167
mac_cpu,model_forward,1.108334
mac_cpu,model_forward,1.111083
mac_cpu,model_forward,1.105792
mac_cpu,model_forward,1.097833
mac_cpu,model_forward,1.108709
mac_cpu,model_forward,1.290875
mac_cpu,model_forward,1.220125
mac_cpu,model_forward,1.162875
mac_cpu,model_forward,1.163917
mac_cpu,model_forward,1.199417
mac_cpu,model_forward,1.10625
mac_cpu,model_forward,1.082083
mac_cpu,model_forward,1.089208
mac_cpu,model_forward,1.084542
mac_cpu,model_forward,1.108041
mac_cpu,model_forward,1.14725
mac_cpu,model_forward,1.139166
mac_cpu,model_forward,1.097375
mac_cpu,model_forward,1.081542
mac_cpu,model_forward,1.134375
mac_cpu,model_forward,1.187333
mac_cpu,model_forward,1.198
mac_cpu,model_forward,1.13225
mac_cpu,model_forward,1.102209
mac_cpu,model_forward,1.108459
mac_cpu,model_forward,1.102583
mac_cpu,model_forward,1.093959
mac_cpu,model_forward,1.112708
mac_cpu,model_forward,1.131209
mac_cpu,model_forward,1.087833
mac_cpu,model_forward,1.09525
mac_cpu,model_forward,1.125542
mac_cpu,model_forward,1.100417
mac_cpu,model_forward,1.113958
mac_cpu,model_forward,1.174084
mac_cpu,model_forward,1.12625
mac_cpu,model_forward,1.12225
mac_cpu,model_forward,1.2885
mac_cpu,model_forward,1.140041
mac_cpu,model_forward,1.201
mac_cpu,model_forward,1.193125
mac_cpu,model_forward,1.133334
mac_cpu,model_forward,1.123833
mac_cpu,model_forward,1.112375
mac_cpu,model_forward,1.107458
mac_cpu,model_forward,1.087959
mac_cpu,model_forward,1.129458
mac_cpu,model_forward,1.096334
mac_cpu,model_forward,1.149125
mac_cpu,model_forward,1.099625
